Background Questions,,,,,,,,,,,,,,
,Neutral,4.0%,36.0%,60.0%,25,,,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,0.0%,100.0%,1,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,29.0%,38.7%,32.3%,31,,,,,,,,,
,Satisfied,16.4%,44.8%,38.8%,67,,,,,,,,,
,Neutral,0.0%,42.9%,57.1%,7,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,25.0%,75.0%,4,,,,,,,,,
,,,,,,,,,,,,,,
Q16j Importance of Find out more information on a specific industry topic (member),,,,,,,,,,,,,,
,,Find out more information on a specific industry topic,,,,Total,,,,,,,,
,,Very Important,Important,Neutral,Not Important,Count,,,,,,,,
All Respondents,_____________   _____________,13.6%,56.8%,27.1%,2.5%,118,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,15.3%,54.2%,25.4%,5.1%,59,,,,,,,,
,Biotechnology/ Life Science Service,4.7%,67.4%,27.9%,0.0%,43,,,,,,,,
,Other,26.7%,40.0%,33.3%,0.0%,15,,,,,,,,
Position,CEO/CFO,12.2%,51.2%,31.7%,4.9%,41,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",10.0%,60.0%,25.0%,5.0%,20,,,,,,,,
,Service Provider,0.0%,80.0%,20.0%,0.0%,10,,,,,,,,
,Business Dev Director,5.0%,60.0%,35.0%,0.0%,20,,,,,,,,
,Other/Research,29.6%,51.9%,18.5%,0.0%,27,,,,,,,,
NJ Employees,Less than 10,13.9%,47.2%,38.9%,0.0%,36,,,,,,,,
,10 - 49,8.6%,62.9%,20.0%,8.6%,35,,,,,,,,
,50 or More,21.2%,54.5%,24.2%,0.0%,33,,,,,,,,
BioNJ Membership,Yes,13.6%,56.8%,27.1%,2.5%,118,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,7.0%,61.4%,26.3%,5.3%,57,,,,,,,,
,Some responsibility,21.4%,54.8%,23.8%,0.0%,42,,,,,,,,
,No responsibility,16.7%,50.0%,33.3%,0.0%,18,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,13.3%,60.0%,23.3%,3.3%,90,,,,,,,,
,Neutral,9.1%,45.5%,45.5%,0.0%,22,,,,,,,,
,Not Valuable/Not Valuable At All,50.0%,0.0%,50.0%,0.0%,2,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,20.0%,57.1%,20.0%,2.9%,35,,,,,,,,
,Satisfied,11.4%,60.0%,27.1%,1.4%,70,,,,,,,,
,Neutral,0.0%,44.4%,44.4%,11.1%,9,,,,,,,,
,Not Satisfied/ Not Satisfied At All,25.0%,25.0%,50.0%,0.0%,4,,,,,,,,
,,,,,,,,,,,,,,
Q16j Use frequency of Find out more information on a specific industry topic (member),,,,,,,,,,,,,,
,,Find out more information on a specific industry topic,,,Total,,,,,,,,,
,,Use it Regularly,Use it Sometimes,Never Use it,Count,,,,,,,,,
All Respondents,_____________   _____________,16.8%,46.7%,36.4%,107,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,16.4%,45.5%,38.2%,55,,,,,,,,,
,Biotechnology/ Life Science Service,19.5%,43.9%,36.6%,41,,,,,,,,,
,Other,10.0%,70.0%,20.0%,10,,,,,,,,,
Position,CEO/CFO,15.8%,36.8%,47.4%,38,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",11.8%,47.1%,41.2%,17,,,,,,,,,
,Service Provider,33.3%,55.6%,11.1%,9,,,,,,,,,
,Business Dev Director,5.3%,57.9%,36.8%,19,,,,,,,,,
,Other/Research,25.0%,50.0%,25.0%,24,,,,,,,,,
NJ Employees,Less than 10,13.9%,44.4%,41.7%,36,,,,,,,,,
,10 - 49,13.3%,46.7%,40.0%,30,,,,,,,,,
,50 or More,17.9%,53.6%,28.6%,28,,,,,,,,,
BioNJ Membership,Yes,16.8%,46.7%,36.4%,107,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,18.4%,42.9%,38.8%,49,,,,,,,,,
,Some responsibility,11.1%,61.1%,27.8%,36,,,,,,,,,
,No responsibility,23.8%,33.3%,42.9%,21,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,21.5%,45.6%,32.9%,79,,,,,,,,,
,Neutral,0.0%,53.8%,46.2%,26,,,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,0.0%,100.0%,1,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,26.7%,40.0%,33.3%,30,,,,,,,,,
,Satisfied,15.2%,50.0%,34.8%,66,,,,,,,,,
,Neutral,0.0%,42.9%,57.1%,7,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,50.0%,50.0%,4,,,,,,,,,
,,,,,,,,,,,,,,
Q16k Importance of Find university/college tech transfer offices (member),,,,,,,,,,,,,,
,,Find university/college tech transfer offices,,,,,Total,,,,,,,
,,Very Important,Important,Neutral,Not Important,Not Important At All,Count,,,,,,,
All Respondents,_____________   _____________,3.7%,19.3%,61.5%,11.9%,3.7%,109,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,3.6%,18.2%,63.6%,12.7%,1.8%,55,,,,,,,
,Biotechnology/ Life Science Service,2.6%,18.4%,65.8%,7.9%,5.3%,38,,,,,,,
,Other,6.7%,20.0%,46.7%,20.0%,6.7%,15,,,,,,,
Position,CEO/CFO,2.7%,13.5%,64.9%,18.9%,0.0%,37,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,22.2%,55.6%,22.2%,0.0%,18,,,,,,,
,Service Provider,0.0%,12.5%,75.0%,12.5%,0.0%,8,,,,,,,
,Business Dev Director,5.0%,30.0%,60.0%,0.0%,5.0%,20,,,,,,,
,Other/Research,7.7%,19.2%,57.7%,3.8%,11.5%,26,,,,,,,
NJ Employees,Less than 10,2.9%,14.7%,67.6%,14.7%,0.0%,34,,,,,,,
,10 - 49,6.5%,12.9%,64.5%,9.7%,6.5%,31,,,,,,,
,50 or More,3.2%,32.3%,51.6%,9.7%,3.2%,31,,,,,,,
BioNJ Membership,Yes,3.7%,19.3%,61.5%,11.9%,3.7%,109,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,4.1%,10.2%,65.3%,14.3%,6.1%,49,,,,,,,
,Some responsibility,2.4%,31.7%,51.2%,12.2%,2.4%,41,,,,,,,
,No responsibility,5.6%,16.7%,72.2%,5.6%,0.0%,18,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,3.6%,21.4%,60.7%,11.9%,2.4%,84,,,,,,,
,Neutral,5.3%,5.3%,68.4%,15.8%,5.3%,19,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,0.0%,100.0%,0.0%,0.0%,2,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,5.9%,20.6%,61.8%,8.8%,2.9%,34,,,,,,,
,Satisfied,1.6%,21.9%,60.9%,10.9%,4.7%,64,,,,,,,
,Neutral,12.5%,0.0%,50.0%,37.5%,0.0%,8,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,0.0%,100.0%,0.0%,0.0%,3,,,,,,,
,,,,,,,,,,,,,,
Q16k Use frequency of Find university/college tech transfer offices (member),,,,,,,,,,,,,,
,,Find university/college tech transfer offices,,Total,,,,,,,,,,
,,Use it Sometimes,Never Use it,Count,,,,,,,,,,
All Respondents,_____________   _____________,16.8%,83.2%,107,,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,15.8%,84.2%,57,,,,,,,,,,
,Biotechnology/ Life Science Service,17.5%,82.5%,40,,,,,,,,,,
,Other,22.2%,77.8%,9,,,,,,,,,,
Position,CEO/CFO,10.5%,89.5%,38,,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",20.0%,80.0%,20,,,,,,,,,,
,Service Provider,25.0%,75.0%,8,,,,,,,,,,
,Business Dev Director,21.1%,78.9%,19,,,,,,,,,,
,Other/Research,18.2%,81.8%,22,,,,,,,,,,
NJ Employees,Less than 10,14.3%,85.7%,35,,,,,,,,,,
,10 - 49,13.3%,86.7%,30,,,,,,,,,,
,50 or More,27.6%,72.4%,29,,,,,,,,,,
BioNJ Membership,Yes,16.8%,83.2%,107,,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,14.0%,86.0%,50,,,,,,,,,,
,Some responsibility,25.0%,75.0%,36,,,,,,,,,,
,No responsibility,10.0%,90.0%,20,,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,19.0%,81.0%,79,,,,,,,,,,
,Neutral,11.5%,88.5%,26,,,,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,100.0%,1,,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,22.6%,77.4%,31,,,,,,,,,,
,Satisfied,13.8%,86.2%,65,,,,,,,,,,
,Neutral,14.3%,85.7%,7,,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,25.0%,75.0%,4,,,,,,,,,,
,,,,,,,,,,,,,,
Q16l Importance of Other (member),,,,,,,,,,,,,,
,,Other,,,Total,,,,,,,,,
,,Very Important,Important,Neutral,Count,,,,,,,,,
All Respondents,_____________   _____________,22.2%,33.3%,44.4%,9,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,25.0%,50.0%,25.0%,4,,,,,,,,,
,Biotechnology/ Life Science Service,0.0%,25.0%,75.0%,4,,,,,,,,,
,Other,100.0%,0.0%,0.0%,1,,,,,,,,,
Position,CEO/CFO,50.0%,50.0%,0.0%,2,,,,,,,,,
,Service Provider,0.0%,0.0%,100.0%,2,,,,,,,,,
,Business Dev Director,0.0%,50.0%,50.0%,2,,,,,,,,,
,Other/Research,33.3%,33.3%,33.3%,3,,,,,,,,,
NJ Employees,Less than 10,33.3%,33.3%,33.3%,6,,,,,,,,,
,10 - 49,0.0%,100.0%,0.0%,1,,,,,,,,,
,50 or More,0.0%,0.0%,100.0%,1,,,,,,,,,
BioNJ Membership,Yes,22.2%,33.3%,44.4%,9,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,33.3%,33.3%,33.3%,6,,,,,,,,,
,Some responsibility,0.0%,50.0%,50.0%,2,,,,,,,,,
,No responsibility,0.0%,0.0%,100.0%,1,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,0.0%,50.0%,50.0%,6,,,,,,,,,
,Neutral,50.0%,0.0%,50.0%,2,,,,,,,,,
,Not Valuable/Not Valuable At All,100.0%,0.0%,0.0%,1,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,0.0%,50.0%,50.0%,4,,,,,,,,,
,Satisfied,33.3%,33.3%,33.3%,3,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,50.0%,0.0%,50.0%,2,,,,,,,,,
,,,,,,,,,,,,,,
Q16l Use frequency of Other (member),,,,,,,,,,,,,,
,,Other,,Total,,,,,,,,,,
,,Use it Sometimes,Never Use it,Count,,,,,,,,,,
All Respondents,_____________   _____________,22.7%,77.3%,22,,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,33.3%,66.7%,12,,,,,,,,,,
,Biotechnology/ Life Science Service,0.0%,100.0%,7,,,,,,,,,,
,Other,33.3%,66.7%,3,,,,,,,,,,
Position,CEO/CFO,28.6%,71.4%,7,,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",50.0%,50.0%,4,,,,,,,,,,
,Service Provider,0.0%,100.0%,1,,,,,,,,,,
,Business Dev Director,0.0%,100.0%,3,,,,,,,,,,
,Other/Research,14.3%,85.7%,7,,,,,,,,,,
NJ Employees,Less than 10,20.0%,80.0%,10,,,,,,,,,,
,10 - 49,14.3%,85.7%,7,,,,,,,,,,
,50 or More,40.0%,60.0%,5,,,,,,,,,,
BioNJ Membership,Yes,22.7%,77.3%,22,,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,22.2%,77.8%,9,,,,,,,,,,
,Some responsibility,42.9%,57.1%,7,,,,,,,,,,
,No responsibility,0.0%,100.0%,6,,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,33.3%,66.7%,15,,,,,,,,,,
,Neutral,0.0%,100.0%,6,,,,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,100.0%,1,,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,0.0%,100.0%,7,,,,,,,,,,
,Satisfied,41.7%,58.3%,12,,,,,,,,,,
,Neutral,0.0%,100.0%,2,,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,100.0%,1,,,,,,,,,,
,,,,,,,,,,,,,,
Q17  What additional information would you like on the BioNJ Web site? (check all that apply) (member),,,,,,,,,,,,,,
,,Internship opportunities,Links to government programs,List of biotech VCs with contact info,Other, ,,,,,,,,
,,,,,,Count,,,,,,,,
All Respondents,_____________   _____________,44.7%,56.9%,67.5%,8.1%,123,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,50.0%,70.0%,58.3%,6.7%,60,,,,,,,,
,Biotechnology/ Life Science Service,41.3%,39.1%,73.9%,13.0%,46,,,,,,,,
,Other,31.3%,56.3%,87.5%,0.0%,16,,,,,,,,
Position,CEO/CFO,45.7%,50.0%,69.6%,13.0%,46,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",66.7%,77.8%,50.0%,11.1%,18,,,,,,,,
,Service Provider,33.3%,41.7%,83.3%,0.0%,12,,,,,,,,
,Business Dev Director,38.1%,52.4%,81.0%,9.5%,21,,,,,,,,
,Other/Research,38.5%,65.4%,57.7%,0.0%,26,,,,,,,,
NJ Employees,Less than 10,37.5%,45.0%,75.0%,12.5%,40,,,,,,,,
,10 - 49,50.0%,59.4%,59.4%,15.6%,32,,,,,,,,
,50 or More,45.7%,71.4%,62.9%,0.0%,35,,,,,,,,
BioNJ Membership,Yes,44.7%,56.9%,67.5%,8.1%,123,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,43.3%,36.7%,70.0%,11.7%,60,,,,,,,,
,Some responsibility,45.2%,76.2%,71.4%,4.8%,42,,,,,,,,
,No responsibility,45.0%,80.0%,50.0%,0.0%,20,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,47.3%,57.1%,71.4%,7.7%,91,,,,,,,,
,Neutral,40.0%,64.0%,48.0%,8.0%,25,,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,0.0%,100.0%,33.3%,3,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,50.0%,47.1%,79.4%,5.9%,34,,,,,,,,
,Satisfied,46.6%,60.3%,64.4%,6.8%,73,,,,,,,,
,Neutral,36.4%,72.7%,54.5%,0.0%,11,,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,40.0%,60.0%,60.0%,5,,,,,,,,
,,,,,,,,,,,,,,
Q18 How satisfied are you with the ability to find what you are looking for at the BioNJ Web site? (member),,,,,,,,,,,,,,
,,How satisfied are you with the ability to find what you are looking for at the BioNJ Web site?,,,,,,Total,,,,,,
,,Very Satisfied,Satisfied,Neutral,Not Satisfied,Not Satisfied At All,Not Familiar,Count,,,,,,
All Respondents,_____________   _____________,10.3%,56.6%,23.4%,2.1%,1.4%,6.2%,145,,,,,,
Organization Type,Biotechnology/ Life Science R&D,13.7%,58.9%,17.8%,0.0%,1.4%,8.2%,73,,,,,,
,Biotechnology/ Life Science Service,5.7%,56.6%,26.4%,5.7%,1.9%,3.8%,53,,,,,,
,Other,11.1%,50.0%,33.3%,0.0%,0.0%,5.6%,18,,,,,,
Position,CEO/CFO,13.7%,49.0%,23.5%,3.9%,2.0%,7.8%,51,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",12.0%,60.0%,20.0%,0.0%,0.0%,8.0%,25,,,,,,
,Service Provider,7.7%,53.8%,30.8%,7.7%,0.0%,0.0%,13,,,,,,
,Business Dev Director,8.0%,60.0%,28.0%,0.0%,0.0%,4.0%,25,,,,,,
,Other/Research,6.5%,64.5%,19.4%,0.0%,3.2%,6.5%,31,,,,,,
NJ Employees,Less than 10,8.9%,40.0%,28.9%,4.4%,2.2%,15.6%,45,,,,,,
,10 - 49,10.0%,65.0%,20.0%,0.0%,2.5%,2.5%,40,,,,,,
,50 or More,7.5%,67.5%,22.5%,0.0%,0.0%,2.5%,40,,,,,,
BioNJ Membership,Yes,10.3%,56.6%,23.4%,2.1%,1.4%,6.2%,145,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,10.1%,53.6%,26.1%,2.9%,1.4%,5.8%,69,,,,,,
,Some responsibility,8.2%,63.3%,22.4%,2.0%,0.0%,4.1%,49,,,,,,
,No responsibility,15.4%,50.0%,19.2%,0.0%,3.8%,11.5%,26,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,12.4%,66.7%,16.2%,0.0%,0.0%,4.8%,105,,,,,,
,Neutral,3.3%,30.0%,43.3%,10.0%,3.3%,10.0%,30,,,,,,
,Not Valuable/Not Valuable At All,0.0%,0.0%,60.0%,0.0%,20.0%,20.0%,5,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,35.0%,47.5%,10.0%,0.0%,0.0%,7.5%,40,,,,,,
,Satisfied,1.2%,69.4%,24.7%,1.2%,0.0%,3.5%,85,,,,,,
,Neutral,0.0%,21.4%,57.1%,0.0%,7.1%,14.3%,14,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,16.7%,16.7%,33.3%,16.7%,16.7%,6,,,,,,
,,,,,,,,,,,,,,
Q19 What would you add to BioLines? (member),,,,,,,,,,,,,,
,Add,Don't Add,No Opinion,,,,,,,,,,,
Career Opportunities,58.1%,11.0%,30.9%,,,,,,,,,,,
Information from other states,53.0%,17.9%,29.1%,,,,,,,,,,,
Posting of trade meetings,67.9%,8.2%,23.9%,,,,,,,,,,,
State official column,55.0%,12.2%,32.8%,,,,,,,,,,,
Other,15.8%,0.0%,84.2%,,,,,,,,,,,
,,,,,,,,,,,,,,
Q19a Career Opportunities (member),,,,,,,,,,,,,,
,,Career Opportunities,,,Total,,,,,,,,,
,,Add,Don't Add,No Opinion,Count,,,,,,,,,
All Respondents,_____________   _____________,58.1%,11.0%,30.9%,136,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,63.1%,9.2%,27.7%,65,,,,,,,,,
,Biotechnology/ Life Science Service,53.8%,13.5%,32.7%,52,,,,,,,,,
,Other,50.0%,11.1%,38.9%,18,,,,,,,,,
Position,CEO/CFO,51.1%,14.9%,34.0%,47,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",86.4%,9.1%,4.5%,22,,,,,,,,,
,Service Provider,53.8%,15.4%,30.8%,13,,,,,,,,,
,Business Dev Director,50.0%,0.0%,50.0%,24,,,,,,,,,
,Other/Research,56.7%,13.3%,30.0%,30,,,,,,,,,
NJ Employees,Less than 10,45.5%,13.6%,40.9%,44,,,,,,,,,
,10 - 49,63.2%,7.9%,28.9%,38,,,,,,,,,
,50 or More,71.1%,7.9%,21.1%,38,,,,,,,,,
BioNJ Membership,Yes,58.1%,11.0%,30.9%,136,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,53.1%,10.9%,35.9%,64,,,,,,,,,
,Some responsibility,65.3%,12.2%,22.4%,49,,,,,,,,,
,No responsibility,59.1%,9.1%,31.8%,22,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,62.4%,10.9%,26.7%,101,,,,,,,,,
,Neutral,46.4%,10.7%,42.9%,28,,,,,,,,,
,Not Valuable/Not Valuable At All,50.0%,0.0%,50.0%,4,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,59.0%,7.7%,33.3%,39,,,,,,,,,
,Satisfied,58.8%,15.0%,26.3%,80,,,,,,,,,
,Neutral,66.7%,0.0%,33.3%,12,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,20.0%,0.0%,80.0%,5,,,,,,,,,
,,,,,,,,,,,,,,
Q19b Information from other states (member),,,,,,,,,,,,,,
,,Information from other states,,,Total,,,,,,,,,
,,Add,Don't Add,No Opinion,Count,,,,,,,,,
All Respondents,_____________   _____________,53.0%,17.9%,29.1%,134,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,53.8%,20.0%,26.2%,65,,,,,,,,,
,Biotechnology/ Life Science Service,52.9%,19.6%,27.5%,51,,,,,,,,,
,Other,47.1%,5.9%,47.1%,17,,,,,,,,,
Position,CEO/CFO,34.7%,28.6%,36.7%,49,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",80.0%,5.0%,15.0%,20,,,,,,,,,
,Service Provider,54.5%,9.1%,36.4%,11,,,,,,,,,
,Business Dev Director,58.3%,12.5%,29.2%,24,,,,,,,,,
,Other/Research,60.0%,16.7%,23.3%,30,,,,,,,,,
NJ Employees,Less than 10,48.9%,13.3%,37.8%,45,,,,,,,,,
,10 - 49,47.2%,22.2%,30.6%,36,,,,,,,,,
,50 or More,68.4%,10.5%,21.1%,38,,,,,,,,,
BioNJ Membership,Yes,53.0%,17.9%,29.1%,134,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,46.9%,20.3%,32.8%,64,,,,,,,,,
,Some responsibility,56.3%,16.7%,27.1%,48,,,,,,,,,
,No responsibility,66.7%,14.3%,19.0%,21,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,51.5%,19.2%,29.3%,99,,,,,,,,,
,Neutral,60.7%,14.3%,25.0%,28,,,,,,,,,
,Not Valuable/Not Valuable At All,25.0%,0.0%,75.0%,4,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,53.8%,17.9%,28.2%,39,,,,,,,,,
,Satisfied,51.3%,19.2%,29.5%,78,,,,,,,,,
,Neutral,72.7%,9.1%,18.2%,11,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,33.3%,16.7%,50.0%,6,,,,,,,,,
,,,,,,,,,,,,,,
Q19c Posting of trade meetings (member),,,,,,,,,,,,,,
,,Posting of trade meetings,,,Total,,,,,,,,,
,,Add,Don't Add,No Opinion,Count,,,,,,,,,
All Respondents,_____________   _____________,67.9%,8.2%,23.9%,134,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,58.5%,12.3%,29.2%,65,,,,,,,,,
,Biotechnology/ Life Science Service,82.4%,2.0%,15.7%,51,,,,,,,,,
,Other,58.8%,11.8%,29.4%,17,,,,,,,,,
Position,CEO/CFO,62.0%,6.0%,32.0%,50,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",66.7%,19.0%,14.3%,21,,,,,,,,,
,Service Provider,84.6%,7.7%,7.7%,13,,,,,,,,,
,Business Dev Director,77.3%,0.0%,22.7%,22,,,,,,,,,
,Other/Research,64.3%,10.7%,25.0%,28,,,,,,,,,
NJ Employees,Less than 10,64.3%,7.1%,28.6%,42,,,,,,,,,
,10 - 49,74.4%,10.3%,15.4%,39,,,,,,,,,
,50 or More,65.8%,7.9%,26.3%,38,,,,,,,,,
BioNJ Membership,Yes,67.9%,8.2%,23.9%,134,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,70.3%,4.7%,25.0%,64,,,,,,,,,
,Some responsibility,67.3%,14.3%,18.4%,49,,,,,,,,,
,No responsibility,65.0%,5.0%,30.0%,20,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,67.0%,8.0%,25.0%,100,,,,,,,,,
,Neutral,69.2%,7.7%,23.1%,26,,,,,,,,,
,Not Valuable/Not Valuable At All,80.0%,0.0%,20.0%,5,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,66.7%,7.7%,25.6%,39,,,,,,,,,
,Satisfied,67.1%,10.5%,22.4%,76,,,,,,,,,
,Neutral,84.6%,0.0%,15.4%,13,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,50.0%,0.0%,50.0%,6,,,,,,,,,
,,,,,,,,,,,,,,
Q19d State official column (member),,,,,,,,,,,,,,
,,State official column,,,Total,,,,,,,,,
,,Add,Don't Add,No Opinion,Count,,,,,,,,,
All Respondents,_____________   _____________,55.0%,12.2%,32.8%,131,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,58.5%,7.7%,33.8%,65,,,,,,,,,
,Biotechnology/ Life Science Service,51.0%,18.4%,30.6%,49,,,,,,,,,
,Other,50.0%,12.5%,37.5%,16,,,,,,,,,
Position,CEO/CFO,52.0%,16.0%,32.0%,50,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",65.0%,15.0%,20.0%,20,,,,,,,,,
,Service Provider,36.4%,18.2%,45.5%,11,,,,,,,,,
,Business Dev Director,45.5%,4.5%,50.0%,22,,,,,,,,,
,Other/Research,67.9%,7.1%,25.0%,28,,,,,,,,,
NJ Employees,Less than 10,43.2%,15.9%,40.9%,44,,,,,,,,,
,10 - 49,65.7%,8.6%,25.7%,35,,,,,,,,,
,50 or More,62.2%,10.8%,27.0%,37,,,,,,,,,
BioNJ Membership,Yes,55.0%,12.2%,32.8%,131,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,47.6%,12.7%,39.7%,63,,,,,,,,,
,Some responsibility,60.9%,15.2%,23.9%,46,,,,,,,,,
,No responsibility,66.7%,4.8%,28.6%,21,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,59.2%,9.2%,31.6%,98,,,,,,,,,
,Neutral,48.1%,22.2%,29.6%,27,,,,,,,,,
,Not Valuable/Not Valuable At All,25.0%,0.0%,75.0%,4,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,53.8%,7.7%,38.5%,39,,,,,,,,,
,Satisfied,54.7%,16.0%,29.3%,75,,,,,,,,,
,Neutral,72.7%,0.0%,27.3%,11,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,33.3%,16.7%,50.0%,6,,,,,,,,,
,,,,,,,,,,,,,,
Q19e Other (member),,,,,,,,,,,,,,
,,Other,,Total,,,,,,,,,,
,,Add,No Opinion,Count,,,,,,,,,,
All Respondents,_____________   _____________,15.8%,84.2%,19,,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,0.0%,100.0%,7,,,,,,,,,,
,Biotechnology/ Life Science Service,22.2%,77.8%,9,,,,,,,,,,
,Other,33.3%,66.7%,3,,,,,,,,,,
Position,CEO/CFO,11.1%,88.9%,9,,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,100.0%,1,,,,,,,,,,
,Service Provider,0.0%,100.0%,1,,,,,,,,,,
,Business Dev Director,50.0%,50.0%,4,,,,,,,,,,
,Other/Research,0.0%,100.0%,4,,,,,,,,,,
NJ Employees,Less than 10,22.2%,77.8%,9,,,,,,,,,,
,10 - 49,25.0%,75.0%,4,,,,,,,,,,
,50 or More,0.0%,100.0%,5,,,,,,,,,,
BioNJ Membership,Yes,15.8%,84.2%,19,,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,10.0%,90.0%,10,,,,,,,,,,
,Some responsibility,50.0%,50.0%,4,,,,,,,,,,
,No responsibility,0.0%,100.0%,5,,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,8.3%,91.7%,12,,,,,,,,,,
,Neutral,33.3%,66.7%,6,,,,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,100.0%,1,,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,16.7%,83.3%,6,,,,,,,,,,
,Satisfied,10.0%,90.0%,10,,,,,,,,,,
,Neutral,0.0%,100.0%,1,,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,50.0%,50.0%,2,,,,,,,,,,
,,,,,,,,,,,,,,
